symbol_id,seal_id,symbol_index,cluster_id
page055_M-37_A_c0_sym_036,page055_M-37_A_c0,36,20
page055_M-37_A_c0_sym_037,page055_M-37_A_c0,37,5
page055_M-37_A_c0_sym_038,page055_M-37_A_c0,38,5
page055_M-37_A_c0_sym_039,page055_M-37_A_c0,39,30
page056_M-38_A_c0_sym_001,page056_M-38_A_c0,1,8
page056_M-39_c0_sym_001,page056_M-39_c0,1,8
page056_M-40_c0_sym_001,page056_M-40_c0,1,35
page057_M-43_c0_sym_001,page057_M-43_c0,1,16
page058_M-46_a_c1_sym_001,page058_M-46_a_c1,1,3
page058_M-46_a_c1_sym_002,page058_M-46_a_c1,2,35
page058_M-46_a_c1_sym_003,page058_M-46_a_c1,3,35
page058_M-46_a_c1_sym_004,page058_M-46_a_c1,4,35
page058_M-46_a_c1_sym_005,page058_M-46_a_c1,5,6
page058_M-46_a_c1_sym_006,page058_M-46_a_c1,6,3
