symbol_id,seal_id,symbol_index,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,stroke_density,bbox_area_ratio,bbox_aspect_ratio,skeleton_pixel_fraction,endpoint_count,junction_count
page659_H-103_E_c0_sym_001,page659_H-103_E_c0,1,0.0026265394946556023,5.871573104828678e-06,6.0661245318207465e-12,5.006867182272512e-12,2.7563701159075376e-23,1.0900536800609352e-14,-1.2792679863321478e-24,0.03173828125,0.08544921875,7.142857142857143,0.01171875,2.0,42.0
page659_H-103_F_c0_sym_001,page659_H-103_F_c0,1,0.004245120714747039,1.647939664958132e-05,3.6122736268802422e-09,3.5885650272028786e-09,1.2920268031139629e-17,1.4556237979214718e-11,4.597789641762038e-21,0.0302734375,0.10986328125,5.555555555555555,0.00927734375,0.0,38.0
page659_H-104_A_c0_sym_001,page659_H-104_A_c0,1,0.004245120714747039,1.647939664958132e-05,3.6122736268802422e-09,3.5885650272028786e-09,1.2920268031139629e-17,1.4556237979214718e-11,4.597789641762038e-21,0.0302734375,0.10986328125,5.555555555555555,0.00927734375,0.0,38.0
page659_H-104_a_c1_sym_001,page659_H-104_a_c1,1,0.005588168210100725,2.9513836531646782e-05,5.508728561584876e-09,5.426088503082925e-09,2.96642444728641e-17,2.944204943375065e-11,3.0333705727449414e-19,0.055908203125,0.123046875,7.875,0.0244140625,1.0,84.0
page659_H-104_a_c1_sym_002,page659_H-104_a_c1,2,0.000950595155728541,1.0885773595391217e-07,1.7365481076145722e-13,1.5020519484010992e-12,6.329666258607538e-25,4.2647435518285156e-16,-4.3341292198424685e-25,0.18994140625,0.23486328125,0.7027027027027027,0.01611328125,0.0,66.0
page660_H-105_A_c0_sym_001,page660_H-105_A_c0,1,0.0016854745149743988,2.2868625257134105e-06,1.3064018353055294e-13,1.3758503394469668e-13,1.796003633348037e-26,2.0377328600652501e-16,4.2048793789722446e-27,0.017578125,0.02197265625,10.0,0.0,0.0,0.0
page660_H-105_A_c0_sym_002,page660_H-105_A_c0,2,0.0012090842059376747,8.736773937674826e-07,3.1712210345915066e-12,1.8753783342118947e-12,4.4239015523127965e-24,1.7528926907656527e-15,-1.160084677611594e-24,0.0673828125,0.10791015625,2.6153846153846154,0.02294921875,0.0,94.0
page660_H-105_A_c0_sym_003,page660_H-105_A_c0,3,0.011150445186034611,0.0001234376424571651,1.7636987416760536e-08,1.7636987416760536e-08,3.110633251389695e-16,1.959513294418821e-10,0.0,0.0146484375,0.0146484375,0.15,0.0,0.0,0.0
page660_H-106_A_c0_sym_001,page660_H-106_A_c0,1,0.0010978399284456335,2.171642733515547e-09,6.737435081985284e-13,6.369324090298631e-13,3.4862446527930615e-26,-2.9666039677833374e-17,4.157823168791685e-25,0.743896484375,0.984375,0.984375,0.580810546875,6.0,2277.0
page660_H-106_a_c1_sym_001,page660_H-106_a_c1,1,0.0010978399284456335,2.171642733515547e-09,6.737435081985284e-13,6.369324090298631e-13,3.4862446527930615e-26,-2.9666039677833374e-17,4.157823168791685e-25,0.743896484375,0.984375,0.984375,0.580810546875,6.0,2277.0
