page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
35,18,2,(M-550) / markhor + camel + buffalo (M-551 to 566) / zebu + tiger + buffalo (M-567 to 570) /,(M-550) / markhor + camel + buffalo (M-551 to 566) / zebu + tiger + buffalo (M-567 to 570) /,167,1521,2032,48,1945,M,567,t,,,M-567 t
35,19,0,zebu + elephant + rhinoceros + snake (M-571)/ zebu + tiger + rhinoceros (M-572 to 574) / zebu +,zebu + elephant + rhinoceros + snake (M-571)/ zebu + tiger + rhinoceros (M-572 to 574) / zebu +,166,1588,2032,48,1032,M,571,,,,M-571
35,19,1,zebu + elephant + rhinoceros + snake (M-571)/ zebu + tiger + rhinoceros (M-572 to 574) / zebu +,zebu + elephant + rhinoceros + snake (M-571)/ zebu + tiger + rhinoceros (M-572 to 574) / zebu +,166,1588,2032,48,1802,M,572,t,,,M-572 t
35,20,0,camel + rhinoceros + snake (M-575 to 581).,camel + rhinoceros + snake (M-575 to 581).,165,1654,887,44,830,M,575,t,,,M-575 t
35,34,0,"| 79 For the iconography of C-26 and C-41, cf. A. Parpola, The Sumerian ‘bull-harp’ motif in late Indus seals from","| 79 For the iconography of C-26 and C-41, cf. A. Parpola, The Sumerian ‘bull-harp’ motif in late Indus seals from",87,2753,2116,50,662,C,26,a,,,C-26 a
35,34,1,"| 79 For the iconography of C-26 and C-41, cf. A. Parpola, The Sumerian ‘bull-harp’ motif in late Indus seals from","| 79 For the iconography of C-26 and C-41, cf. A. Parpola, The Sumerian ‘bull-harp’ motif in late Indus seals from",87,2753,2116,50,810,C,41,,,,C-41
35,36,0,"80 M-303 represents a deviant type, with not only the horns but also the hump of the zebu and a less human face.","80 M-303 represents a deviant type, with not only the horns but also the hump of the zebu and a less human face.",170,2881,1952,61,283,M,303,r,,,M-303 r
35,39,0,"82 The scene in M-439 to M-441 B is classified as an ""animal group” although three anthropomorphs are seen in it.","82 The scene in M-439 to M-441 B is classified as an ""animal group” although three anthropomorphs are seen in it.",170,3088,1963,59,508,M,439,t,,,M-439 t
35,39,1,"82 The scene in M-439 to M-441 B is classified as an ""animal group” although three anthropomorphs are seen in it.","82 The scene in M-439 to M-441 B is classified as an ""animal group” although three anthropomorphs are seen in it.",170,3088,1963,59,673,M,441,B,,,M-441 B
36,30,0,"(M-304), are also meant to help scholars in distinguishing important details, No scale is given,","(M-304), are also meant to help scholars in distinguishing important details, No scale is given,",233,2431,2030,73,307,M,304,,,,M-304
